group	gene	n_cells	fraction_detected	mean_log1p_CP10k
MG_LVG1	NFYC	713	0.21598877980364656	0.23982838904557832
MG_LVG1	SP1	713	0.15427769985974754	0.1606214518594522
MG_LVG1	SP3	713	0.2664796633941094	0.3063234394567789
MG_LVG1	MEF2A	713	0.5946704067321178	0.8293415332867495
MG_LVG1	MEF2B	713	0.04207573632538569	0.03889638556713817
MG_LVG1	MEF2D	713	0.17110799438990182	0.1706729896148715
MG_LVG1	GABPA	713	0.19214586255259467	0.2000013404138563
MG_LVG1	IRF1	713	0.025245441795231416	0.024049459141300154
MG_LVG1	IRF2	713	0.24684431977559607	0.26275865523086883
MG_LVG1	REST	713	0.23983169705469845	0.2643639824924907
MG_LVG1	YY1	713	0.2370266479663394	0.256760923110412
MG_all	SOX9	3434	0.23179965055329063	0.2812244601029569
MG_all	SOX10	3434	0.00786255096097845	0.007420196185242397
MG_all	NFIA	3434	0.8197437390797904	1.6362825974587822
MG_all	NFIB	3434	0.8421665695981363	1.6918319044232046
MG_all	NFIC	3434	0.2582993593476995	0.2830147143437136
MG_all	NFIX	3434	0.20413511939429238	0.22857735082023098
MG_all	LHX2	3434	0.34711706464764125	0.43485323979295226
MG_all	RFX1	3434	0.14938846825859056	0.14673082660482545
MG_all	RFX2	3434	0.1298776936517181	0.13809374863842924
MG_all	RFX3	3434	0.7335468841001748	1.2604850250576953
MG_all	FOS	3434	0.663948747815958	1.3447104998118367
MG_all	FOSB	3434	0.10337798485730926	0.13384045336879216
MG_all	JUN	3434	0.4306930693069307	0.6161280459565251
MG_all	JUNB	3434	0.6729761211415259	1.4572823888758797
MG_all	JUND	3434	0.21170646476412347	0.23874900927517764
MG_all	CTCF	3434	0.10978450786255096	0.11352637851403191
MG_all	RORA	3434	0.9866045428072219	3.0325415443177812
MG_all	NFIL3	3434	0.27722772277227725	0.3767903961847653
MG_all	DBP	3434	0.16773442050087362	0.18078897945705477
MG_all	CRX	3434	0.31275480489225393	0.3845179850888504
MG_all	OTX2	3434	0.2521840419336051	0.29993267623857167
MG_all	PAX6	3434	0.4161327897495632	0.5539989065597406
MG_all	NKX6-1	3434	0.0	0.0
MG_all	NOTO	3434	0.0	0.0
MG_all	VSX1	3434	0.019801980198019802	0.017437408110495344
MG_all	MITF	3434	0.06610366919044845	0.08018672249893391
MG_all	TFEB	3434	0.0553290623179965	0.05538010061676831
MG_all	NRF1	3434	0.3852649970879441	0.4691091464656628
MG_all	NFYA	3434	0.05794991263832266	0.058604787015549845
MG_all	NFYB	3434	0.07309260337798486	0.06675901381884772
MG_all	NFYC	3434	0.14414676761793827	0.15935388722187416
MG_all	SP1	3434	0.1374490390215492	0.14080569670392312
MG_all	SP3	3434	0.24519510774606873	0.2706436059146276
MG_all	MEF2A	3434	0.5754222481071637	0.8481490136042702
MG_all	MEF2B	3434	0.033197437390797904	0.03175136924288648
MG_all	MEF2D	3434	0.2253931275480489	0.2363004139864285
MG_all	GABPA	3434	0.1729761211415259	0.18902123188310918
MG_all	IRF1	3434	0.032615026208503206	0.032303833247030754
MG_all	IRF2	3434	0.16627839254513688	0.17170121436563868
MG_all	REST	3434	0.16627839254513688	0.1827067989177229
MG_all	YY1	3434	0.19685497961560863	0.21142969617574728
ambiguous_excluded	SOX9	469	0.1279317697228145	0.1470070988054632
ambiguous_excluded	SOX10	469	0.006396588486140725	0.006268070827145422
ambiguous_excluded	NFIA	469	0.47547974413646055	0.981839690856521
ambiguous_excluded	NFIB	469	0.464818763326226	0.9492804468388713
ambiguous_excluded	NFIC	469	0.21748400852878466	0.2623032587371967
ambiguous_excluded	NFIX	469	0.1023454157782516	0.1251492034422435
ambiguous_excluded	LHX2	469	0.17484008528784648	0.21643225073272163
ambiguous_excluded	RFX1	469	0.13432835820895522	0.15832882949086113
ambiguous_excluded	RFX2	469	0.08955223880597014	0.11832209669380925
ambiguous_excluded	RFX3	469	0.7057569296375267	1.329342119687368
ambiguous_excluded	FOS	469	0.3411513859275053	0.6819643093491077
ambiguous_excluded	FOSB	469	0.042643923240938165	0.05006472776016863
ambiguous_excluded	JUN	469	0.232409381663113	0.3149729411517099
ambiguous_excluded	JUNB	469	0.4051172707889126	0.8246413023145608
ambiguous_excluded	JUND	469	0.13219616204690832	0.15729192984097307
ambiguous_excluded	CTCF	469	0.10660980810234541	0.13389894021682497
ambiguous_excluded	RORA	469	0.9232409381663113	2.77405479747719
ambiguous_excluded	NFIL3	469	0.16204690831556504	0.222875913541988
ambiguous_excluded	DBP	469	0.13859275053304904	0.15487964769909626
ambiguous_excluded	CRX	469	0.39658848614072495	0.614177484847782
ambiguous_excluded	OTX2	469	0.373134328358209	0.588544015002371
ambiguous_excluded	PAX6	469	0.26865671641791045	0.34887115540891595
ambiguous_excluded	NKX6-1	469	0.0	0.0
ambiguous_excluded	NOTO	469	0.0	0.0
ambiguous_excluded	VSX1	469	0.04051172707889126	0.05595593913808925
ambiguous_excluded	MITF	469	0.04477611940298507	0.05202370002508895
ambiguous_excluded	TFEB	469	0.06396588486140725	0.07590224076175313
ambiguous_excluded	NRF1	469	0.40085287846481876	0.5899398858364305
ambiguous_excluded	NFYA	469	0.0511727078891258	0.04709489622420938
ambiguous_excluded	NFYB	469	0.057569296375266525	0.07145945768996703
ambiguous_excluded	NFYC	469	0.12366737739872068	0.1521045071578246
ambiguous_excluded	SP1	469	0.07889125799573561	0.09134978286720319
ambiguous_excluded	SP3	469	0.23667377398720682	0.3009424276990668
ambiguous_excluded	MEF2A	469	0.47974413646055436	0.7348121660366788
ambiguous_excluded	MEF2B	469	0.021321961620469083	0.01904293339345742
ambiguous_excluded	MEF2D	469	0.18763326226012794	0.23398392331218912
ambiguous_excluded	GABPA	469	0.13646055437100213	0.16259201646903937
ambiguous_excluded	IRF1	469	0.031982942430703626	0.03236283764506104
ambiguous_excluded	IRF2	469	0.14072494669509594	0.17358298132116165
ambiguous_excluded	REST	469	0.1279317697228145	0.14421208301267752
ambiguous_excluded	YY1	469	0.17484008528784648	0.19235623771678878
non_MG_barcode_background	SOX9	47742	0.011185120020108082	0.013428686599787796
non_MG_barcode_background	SOX10	47742	0.0056972895982573	0.007121071330580486
non_MG_barcode_background	NFIA	47742	0.14597210003770264	0.32131810722878795
non_MG_barcode_background	NFIB	47742	0.10883498806082695	0.21880207258129084
non_MG_barcode_background	NFIC	47742	0.21033890494742574	0.31244581610676864
non_MG_barcode_background	NFIX	47742	0.020966863558292487	0.030626070831525715
non_MG_barcode_background	LHX2	47742	0.017280382053537765	0.021192967736211526
non_MG_barcode_background	RFX1	47742	0.12544510074986384	0.17629698787974774
non_MG_barcode_background	RFX2	47742	0.060533701981483806	0.08802348518106537
non_MG_barcode_background	RFX3	47742	0.6165849775878681	1.2264018431476014
non_MG_barcode_background	FOS	47742	0.03839386703531482	0.05511008459494652
non_MG_barcode_background	FOSB	47742	0.0023668886933936577	0.0028008097762297307
non_MG_barcode_background	JUN	47742	0.04930669012609443	0.06798341906091036
non_MG_barcode_background	JUNB	47742	0.09033974278413137	0.1352699307949075
non_MG_barcode_background	JUND	47742	0.04019521595241087	0.04816158449570708
non_MG_barcode_background	CTCF	47742	0.09620459972351389	0.13383323340305217
non_MG_barcode_background	RORA	47742	0.8520799296217167	2.5317733588073015
non_MG_barcode_background	NFIL3	47742	0.043651292363118425	0.055239266415574986
non_MG_barcode_background	DBP	47742	0.11505592560010054	0.15125010619006482
non_MG_barcode_background	CRX	47742	0.4808763771940849	0.8790404519974118
non_MG_barcode_background	OTX2	47742	0.4988270286121235	0.9095968829790083
non_MG_barcode_background	PAX6	47742	0.09017217544300615	0.13473465522016265
non_MG_barcode_background	NKX6-1	47742	0.00010472958820325919	9.818367240921107e-05
non_MG_barcode_background	NOTO	47742	0.0005445938586569477	0.00038004369120034934
non_MG_barcode_background	VSX1	47742	0.0757194922709564	0.13113528838263475
non_MG_barcode_background	MITF	47742	0.03971345984667588	0.0504600966991437
non_MG_barcode_background	TFEB	47742	0.021846592099199865	0.02658521837273676
non_MG_barcode_background	NRF1	47742	0.3387373800846215	0.5412070303421965
non_MG_barcode_background	NFYA	47742	0.048950609526203344	0.06682015574972569
non_MG_barcode_background	NFYB	47742	0.06405261614511332	0.08328491694910575
non_MG_barcode_background	NFYC	47742	0.10292823928616313	0.13540616613235062
non_MG_barcode_background	SP1	47742	0.043169536257383435	0.055767963342563134
non_MG_barcode_background	SP3	47742	0.19886054208034853	0.29005535183441755
non_MG_barcode_background	MEF2A	47742	0.40685350425202127	0.6938738009051013
non_MG_barcode_background	MEF2B	47742	0.01459930459553433	0.019825311374306095
non_MG_barcode_background	MEF2D	47742	0.1834024548615475	0.2620534141969209
non_MG_barcode_background	GABPA	47742	0.09509446608855934	0.1297748001727045
non_MG_barcode_background	IRF1	47742	0.013279711784173264	0.01807077393980831
non_MG_barcode_background	IRF2	47742	0.08973231117255247	0.11844830059267264
non_MG_barcode_background	REST	47742	0.07437895354195467	0.10418934315387784
non_MG_barcode_background	YY1	47742	0.14071467470989904	0.19640697747708166
